Commune;Habitants*;UPD;kVA;UPD/1000 habitants;kVA/1000 habitants
Amay;14.264;633;3.196;44;224
Amblève (Amel);5.523;514;3.591;93;650
Ans;28.314;840;4.230;30;149
Anthisnes;4.175;276;1.533;66;367
Aubel;4.243;413;2.498;97;589
Awans;9.259;563;3.063;61;331
Aywaille;12.277;730;4.136;59;337
Baelen;4.386;400;2.291;91;522
Bassenge;9.003;485;2.628;54;292
Berloz;3.043;181;998;59;328
Beyne-Heusay;12.011;504;2.604;42;217
Blegny;13.212;876;4.849;66;367
Braives;6.272;482;2.712;77;432
Bullange (Büllingen);5.489;623;4.103;113;748
Burdinne;3.229;255;1.510;79;468
Burg-Reuland;3.944;321;2.381;81;604
Butgenbach (Bütgenbach);5.583;420;2.798;75;501
Chaudfontaine;20.885;1.040;5.778;50;277
Clavier;4.564;413;2.440;90;535
Comblain-au-Pont;5.370;276;1.478;51;275
Crisnée;3.323;273;1.557;82;468
Dalhem;7.331;604;3.553;82;485
Dison;15.260;460;2.316;30;152
Donceel;3.018;254;1.499;84;497
Engis;6.050;235;1.327;39;219
Esneux;12.986;623;3.158;48;243
Eupen;19.461;1.138;5.807;58;298
Faimes;3.941;302;1.851;77;470
Ferrières;4.876;302;1.747;62;358
Fexhe-le-Haut-Clocher;3.240;240;1.375;74;425
Flémalle;26.166;901;4.553;34;174
Fléron;16.467;639;3.340;39;203
Geer;3.373;276;1.680;82;498
Grâce-Hollogne;22.188;763;3.984;34;180
Hamoir;3.887;194;1.070;50;275
Hannut;16.254;880;5.137;54;316
Héron;5.225;385;2.112;74;404
Herstal;39.744;1.033;5.233;26;132
Herve;17.638;1.575;9.121;89;517
Huy;21.301;646;3.376;30;158
Jalhay;8.563;785;4.503;92;526
Juprelle;9.209;714;4.158;78;452
La Calamine (Kelmis);10.964;579;3.080;53;281
Liège;197.885;2.679;12.077;14;61
Lierneux;3.607;242;1.499;67;415
Limbourg;5.990;350;1.901;58;317
Lincent;3.292;170;917;52;279
Lontzen;5.684;547;3.181;96;560
Malmedy;12.503;737;4.450;59;356
Marchin;5.391;331;1.786;61;331
Modave;4.185;311;1.811;74;433
Nandrin;5.821;519;3.151;89;541
Neupré;9.892;750;4.366;76;441
Olne;3.978;389;2.246;98;565
Oreye;3.898;218;1.275;56;327
Ouffet;2.815;220;1.284;78;456
Oupeye;25.055;1.189;6.366;47;254
Pepinster;9.807;575;2.872;59;293
Plombières;10.342;808;4.702;78;455
Raeren;10.611;977;5.801;92;547
Remicourt;5.914;420;2.374;71;401
Saint-Georges-sur-Meuse;6.684;362;1.993;54;298
Saint-Nicolas;24.151;411;1.918;17;79
Saint-Vith (Sankt Vith);9.661;838;5.737;87;594
Seraing;64.157;1.384;6.867;22;107
Soumagne;16.798;1.101;6.114;66;364
Spa;10.345;354;1.656;34;160
Sprimont;14.490;1.075;6.182;74;427
Stavelot;7.140;394;2.206;55;309
Stoumont;3.119;209;1.200;67;385
Theux;12.080;1.106;6.038;92;500
Thimister-Clermont;5.721;651;4.062;114;710
Tinlot;2.675;242;1.457;90;545
Trois-Ponts;2.507;109;624;43;249
Trooz;8.232;340;1.852;41;225
Verlaine;4.155;393;2.325;95;559
Verviers;55.194;1.664;7.907;30;143
Villers-le-Bouillet;6.530;554;3.180;85;487
Visé;17.759;854;4.290;48;242
Waimes;7.493;622;4.009;83;535
Wanze;13.643;694;3.906;51;286
Waremme;15.036;630;3.446;42;229
Wasseiges;2.893;185;1.069;64;370
Welkenraedt;9.887;784;4.298;79;435
