id,power_plant,code_cwape,operator,location,nominal_power,lat,lon,brand,type,state
Amel,Amel,250,ASPIRAVI,Amblève (Amel),2,50.34933,6.215867,Enercon,E82,En fonction
Amel1,Amel,250,ASPIRAVI,Amblève (Amel),2,50.348528,6.219884,Enercon,E82,En fonction
Amel2,Amel,250,ASPIRAVI,Amblève (Amel),2,50.347087,6.223383,Enercon,E82,En fonction
Amel3,Amel,250,ASPIRAVI,Amblève (Amel),2,50.345434,6.226664,Enercon,E82,En fonction
Amel4,Amel,250,ASPIRAVI,Amblève (Amel),2,50.34355,6.229724,Enercon,E82,En fonction
Arlon - Messancy,Arlon - Messancy,9483,ENECO WIND BELGIUM,Messancy (Hondelange),2,49.631434,5.867019,Senvion,MM100,En fonction
Arlon - Messancy1,Arlon - Messancy,9483,ENECO WIND BELGIUM,Messancy (Hondelange),2,49.634511,5.865468,Senvion,MM100,En fonction
Arlon - Messancy2,Arlon - Messancy,9483,ENECO WIND BELGIUM,Messancy (Hondelange),2,49.636794,5.863517,Senvion,MM100,En fonction
Arlon - Messancy3,Arlon - Messancy,9525,Eoliennes de Lorraine,Messancy (Hondelange),2,49.634499,5.854017,Senvion,MM100,En fonction
Arlon - Messancy4,Arlon - Messancy,9525,Eoliennes de Lorraine,Messancy (Hondelange),2,49.636551,5.851837,Senvion,MM100,En fonction
Arlon - Messancy5,Arlon - Messancy,9079,Vents d'Autlebas,Messancy (Hondelange) (extension),2,49.637994,5.874853,Senvion,MM100,En fonction
Assesse,Assesse,0,Eoliennes de la Fagne,Assesse,0.8,50.36505,5.047937,Enercon,E53,En Construction
Assesse1,Assesse,0,Eoliennes de la Fagne,Assesse,0.8,50.364165,5.049546,Enercon,E53,En Construction
Assesse2,Assesse,0,Eoliennes de la Fagne,Assesse,0.8,50.362387,5.046461,Enercon,E53,En Construction
Bastogne - Vaux sur sure,Bastogne - Vaux sur sure,3786,ELICIO,Villeroux - Vaux s/ Sure,2,49.989232,5.658765,Enercon,E82,En fonction
Bastogne - Vaux sur sure1,Bastogne - Vaux sur sure,3786,ELICIO,Villeroux - Vaux s/ Sure,2,49.985669,5.660496,Enercon,E82,En fonction
Bastogne - Vaux sur sure2,Bastogne - Vaux sur sure,3786,ELICIO,Villeroux - Vaux s/ Sure,2,49.982836,5.665328,Enercon,E82,En fonction
Bastogne - Vaux sur sure3,Bastogne - Vaux sur sure,5713,ASPIRAVI,Villeroux - Vaux s/ Sure,2,49.994048,5.671811,Enercon,E82,En fonction
Bastogne - Vaux sur sure4,Bastogne - Vaux sur sure,5713,ASPIRAVI,Villeroux - Vaux s/ Sure,2,49.992647,5.664534,Enercon,E82,En fonction
Bastogne - Vaux sur sure5,Bastogne - Vaux sur sure,5713,ASPIRAVI,Villeroux - Vaux s/ Sure,2,49.98769,5.669462,Enercon,E82,En fonction
Beaumont,Beaumont,0,GESTAMP,BEAUMONT-Froidchapelle (2),2,50.217722,4.305585,Senvion,MM92,En fonction
Beaumont1,Beaumont,0,GESTAMP,BEAUMONT-Froidchapelle (2),2,50.212931,4.306909,Senvion,MM92,En fonction
Beaumont2,Beaumont,0,GESTAMP,BEAUMONT-Froidchapelle (2),2,50.209559,4.307179,Senvion,MM92,En fonction
